ticker,metric_x,metric_y,lag_days,pair,pearson_r,pearson_p,spearman_r,spearman_p,n,significance
AAPL,net_sentiment,next_day_return,0,Net Sentiment vs Next-Day Return,0.15107297817532853,0.39373677148948316,0.06401833460656989,0.7190755416759196,34,
AAPL,sentiment_volatility,price_volatility_7d,0,Sentiment Volatility vs Price Volatility 7D,-0.04369025353204552,0.8061902160995342,0.004736440030557678,0.9787907160303255,34,
AAPL,bull_bear_ratio,next_day_return,0,Bull/Bear Ratio vs Next-Day Return,-0.027792284611805614,0.8820189278712928,0.08284473130126344,0.6577166807539594,31,
AAPL,sentiment_ma_7d,next_day_return,0,Sentiment MA-7D vs Next-Day Return,-0.19940727144226358,0.2582050755426732,-0.17952635599694422,0.3096586354863478,34,
MSFT,net_sentiment,next_day_return,0,Net Sentiment vs Next-Day Return,0.020810404910048978,0.9179406231798335,0.12759462759462756,0.5259311045393342,27,
MSFT,sentiment_volatility,price_volatility_7d,0,Sentiment Volatility vs Price Volatility 7D,-0.04544430280636147,0.8219186786204206,-0.040903540903540904,0.8394724559633964,27,
MSFT,bull_bear_ratio,next_day_return,0,Bull/Bear Ratio vs Next-Day Return,-0.13206740350316792,0.5291551255900274,0.006544757603029083,0.9752307228955679,25,
MSFT,sentiment_ma_7d,next_day_return,0,Sentiment MA-7D vs Next-Day Return,-0.1538340454820581,0.44361770985094484,-0.19047619047619047,0.34126856583809617,27,
GOOGL,net_sentiment,next_day_return,0,Net Sentiment vs Next-Day Return,0.19427973707448526,0.3125567595475509,0.04926108374384235,0.7996778546381467,29,
GOOGL,sentiment_volatility,price_volatility_7d,0,Sentiment Volatility vs Price Volatility 7D,0.24397630093834433,0.2021544397159726,0.16108374384236449,0.40384330983638206,29,
GOOGL,bull_bear_ratio,next_day_return,0,Bull/Bear Ratio vs Next-Day Return,-0.019700634452863686,0.9223032833030169,-0.03914979445058214,0.8462727195965435,27,
GOOGL,sentiment_ma_7d,next_day_return,0,Sentiment MA-7D vs Next-Day Return,0.2008932352579726,0.29604301677864203,0.014778325123152707,0.9393498687559616,29,
OVERALL,net_sentiment,next_day_return,0,Net Sentiment vs Next-Day Return,0.09008312205038713,0.3984592990440215,0.08708070955261965,0.41442911048499653,90,
OVERALL,sentiment_volatility,price_volatility_7d,0,Sentiment Volatility vs Price Volatility 7D,-0.009498194222567485,0.9292009595631682,0.02007655266082232,0.8510182014605443,90,
OVERALL,bull_bear_ratio,next_day_return,0,Bull/Bear Ratio vs Next-Day Return,-0.04143251308884321,0.709964795481941,0.05130982399972466,0.6450360100116376,83,
OVERALL,sentiment_ma_7d,next_day_return,0,Sentiment MA-7D vs Next-Day Return,-0.09870905453475136,0.3546489797027465,-0.08550026752273944,0.42298277145343455,90,
AAPL,net_sentiment,return_lag1d,1,,0.15107297817532853,0.39373677148948316,0.06401833460656989,0.7190755416759196,34,
AAPL,sentiment_volatility,return_lag1d,1,,-0.3342753123696967,0.05333109450796165,-0.33048128342245986,0.05626614122351324,34,
AAPL,bull_bear_ratio,return_lag1d,1,,-0.027792284611805614,0.8820189278712928,0.08284473130126344,0.6577166807539594,31,
AAPL,sentiment_ma_7d,return_lag1d,1,,-0.19940727144226358,0.2582050755426732,-0.17952635599694422,0.3096586354863478,34,
MSFT,net_sentiment,return_lag1d,1,,0.020810404910048978,0.9179406231798335,0.12759462759462756,0.5259311045393342,27,
MSFT,sentiment_volatility,return_lag1d,1,,-0.29557789148401303,0.13442703835742056,-0.278998778998779,0.15875030619998595,27,
MSFT,bull_bear_ratio,return_lag1d,1,,-0.13206740350316792,0.5291551255900274,0.006544757603029083,0.9752307228955679,25,
MSFT,sentiment_ma_7d,return_lag1d,1,,-0.1538340454820581,0.44361770985094484,-0.19047619047619047,0.34126856583809617,27,
GOOGL,net_sentiment,return_lag1d,1,,0.19427973707448526,0.3125567595475509,0.04926108374384235,0.7996778546381467,29,
GOOGL,sentiment_volatility,return_lag1d,1,,-0.11654118657438205,0.5471444183451838,-0.09113300492610836,0.6382412689189085,29,
GOOGL,bull_bear_ratio,return_lag1d,1,,-0.019700634452863686,0.9223032833030169,-0.03914979445058214,0.8462727195965435,27,
GOOGL,sentiment_ma_7d,return_lag1d,1,,0.2008932352579726,0.29604301677864203,0.014778325123152707,0.9393498687559616,29,
OVERALL,net_sentiment,return_lag1d,1,,0.09008312205038713,0.3984592990440215,0.08708070955261965,0.41442911048499653,90,
OVERALL,sentiment_volatility,return_lag1d,1,,-0.24355183348730516,0.020712372842572862,-0.247742519652632,0.01855933337789988,90,*
OVERALL,bull_bear_ratio,return_lag1d,1,,-0.04143251308884321,0.709964795481941,0.05130982399972466,0.6450360100116376,83,
OVERALL,sentiment_ma_7d,return_lag1d,1,,-0.09870905453475136,0.3546489797027465,-0.08550026752273944,0.42298277145343455,90,
AAPL,net_sentiment,return_lag3d,3,,-0.1354116534437174,0.4599424679182889,-0.11803519061583577,0.5199660618064565,32,
AAPL,sentiment_volatility,return_lag3d,3,,0.1098949150358176,0.5493434256260762,0.2969208211143695,0.09888802424348149,32,
AAPL,bull_bear_ratio,return_lag3d,3,,-0.2486873014511697,0.19330545799450757,-0.2477127148894265,0.1951136872449749,29,
AAPL,sentiment_ma_7d,return_lag3d,3,,-0.17412803467711635,0.3405213740190822,-0.24633431085043983,0.17411879409395425,32,
MSFT,net_sentiment,return_lag3d,3,,-0.07246900720188773,0.730660225264146,-0.12538461538461537,0.5503795193738266,25,
MSFT,sentiment_volatility,return_lag3d,3,,0.05813748011455923,0.7825183943227144,0.09230769230769231,0.6607713531148642,25,
MSFT,bull_bear_ratio,return_lag3d,3,,0.09115587438090132,0.6791290167713537,0.06826619121024037,0.7569436675300631,23,
MSFT,sentiment_ma_7d,return_lag3d,3,,-0.1241654990610979,0.5542931147952032,-0.18230769230769234,0.3830917730325135,25,
GOOGL,net_sentiment,return_lag3d,3,,-0.013793899921414055,0.9455574249411167,-0.01587301587301587,0.9373662509116757,27,
GOOGL,sentiment_volatility,return_lag3d,3,,0.025926671794246375,0.8978597510791064,-0.018315018315018316,0.9277533978634779,27,
GOOGL,bull_bear_ratio,return_lag3d,3,,0.09601244539600585,0.6480002280259598,-0.06823456957843753,0.7458744130085062,25,
GOOGL,sentiment_ma_7d,return_lag3d,3,,-0.18211172873689035,0.36327690465795986,-0.1343101343101343,0.5041917954419018,27,
OVERALL,net_sentiment,return_lag3d,3,,-0.09511526537224824,0.38943790365459824,-0.10843373493975904,0.32618893479406963,84,
OVERALL,sentiment_volatility,return_lag3d,3,,0.0593200809410732,0.5919561236954978,0.11272653639769162,0.30728588562054404,84,
OVERALL,bull_bear_ratio,return_lag3d,3,,-0.05219955543668814,0.6520869879794315,-0.10408147573097379,0.367682612188985,77,
OVERALL,sentiment_ma_7d,return_lag3d,3,,-0.16378187203584543,0.13657535227465864,-0.16221524754480107,0.1404186786964134,84,
AAPL,net_sentiment,return_lag7d,7,,-0.1320926895778909,0.5028279153216537,-0.15435139573070608,0.43290495612851987,28,
AAPL,sentiment_volatility,return_lag7d,7,,0.059940417221259604,0.7619000291737077,0.20799124247400108,0.28820031258385626,28,
AAPL,bull_bear_ratio,return_lag7d,7,,-0.1811838946095704,0.3860812974716304,-0.14810735219312082,0.479855128393767,25,
AAPL,sentiment_ma_7d,return_lag7d,7,,0.12375043025873755,0.5304037987986502,0.09140667761357417,0.6436531023679799,28,
MSFT,net_sentiment,return_lag7d,7,,-0.20014241895920212,0.3843787934530635,-0.21818181818181817,0.3420480120478131,21,
MSFT,sentiment_volatility,return_lag7d,7,,-0.2342458660319337,0.3067674864391458,-0.17662337662337665,0.4437478469481736,21,
MSFT,bull_bear_ratio,return_lag7d,7,,-0.2905067254613002,0.22760220878775275,-0.186292027594694,0.44509224722572327,19,
MSFT,sentiment_ma_7d,return_lag7d,7,,-0.30609876195218,0.177180668533634,-0.35974025974025975,0.10921076405040096,21,
GOOGL,net_sentiment,return_lag7d,7,,-0.38277107119059545,0.07143490898409438,-0.4031620553359684,0.05645077604087721,23,
GOOGL,sentiment_volatility,return_lag7d,7,,-0.1305660809194477,0.5526428073784042,-0.17588932806324112,0.42210052883017857,23,
GOOGL,bull_bear_ratio,return_lag7d,7,,-0.13432338343336617,0.5615800327815432,-0.18211406188668422,0.4294751170181059,21,
GOOGL,sentiment_ma_7d,return_lag7d,7,,-0.4620251359147726,0.02645031936831233,-0.43280632411067194,0.03913146366179717,23,*
OVERALL,net_sentiment,return_lag7d,7,,-0.1907966901154416,0.10840241704677003,-0.2186957360601968,0.06494627371511925,72,
OVERALL,sentiment_volatility,return_lag7d,7,,-0.03886801784696913,0.7458195506912062,0.001800758891247026,0.9880221825523313,72,
OVERALL,bull_bear_ratio,return_lag7d,7,,-0.16295109454921117,0.19464810755169168,-0.166097851981904,0.18605264506386612,65,
OVERALL,sentiment_ma_7d,return_lag7d,7,,-0.01579327933880531,0.8952427687979355,-0.040967264775869844,0.7325929100752365,72,
